UF,Município,Marca Modelo,Ano Fabricação Veículo CRV,Qtd. Veículos
CEARA,PINDORETAMA,I/AUDI Q8 SB HIBRIDO,2024,1.0
DISTRITO FEDERAL,BRASILIA,AUDI/Q3 2.0 TFSI,2024,3.0
DISTRITO FEDERAL,BRASILIA,AUDI/Q3 SPB 2.0 TFSI,2024,2.0
DISTRITO FEDERAL,BRASILIA,I/AUDI A3 SB HIBRIDO,2024,4.0
DISTRITO FEDERAL,BRASILIA,I/AUDI A3 SD HIBRIDO,2024,3.0
DISTRITO FEDERAL,BRASILIA,I/AUDI A3 SEDAN 2.0,2024,2.0
DISTRITO FEDERAL,BRASILIA,I/AUDI A4 2.0 SE QUATTRO,2024,2.0
DISTRITO FEDERAL,BRASILIA,I/AUDI A4 2.0 TFSI,2024,2.0
DISTRITO FEDERAL,BRASILIA,I/AUDI A4 SEDAN,2024,1.0
DISTRITO FEDERAL,BRASILIA,I/AUDI A4 TFSI,2024,1.0
DISTRITO FEDERAL,BRASILIA,I/AUDI A5 2.0 SB QUATTRO,2024,15.0
DISTRITO FEDERAL,BRASILIA,I/AUDI A5 SPB 2.0 TFSI,2024,1.0
DISTRITO FEDERAL,BRASILIA,I/AUDI A8L BUSINESS EDIT,2024,1.0
DISTRITO FEDERAL,BRASILIA,I/AUDI Q3 2.0,2024,2.0
DISTRITO FEDERAL,BRASILIA,I/AUDI Q3 2.0 TFSI,2024,25.0
DISTRITO FEDERAL,BRASILIA,I/AUDI Q3 2.0TFSI,2024,1.0
DISTRITO FEDERAL,BRASILIA,I/AUDI Q3 P B 2.0 TFSI,2024,4.0
DISTRITO FEDERAL,BRASILIA,I/AUDI Q3 PERFORMANCE,2024,2.0
DISTRITO FEDERAL,BRASILIA,I/AUDI Q3 SPB 2.0 TFSI,2024,14.0
DISTRITO FEDERAL,BRASILIA,I/AUDI Q3 SPB 2.0 TSFI,2024,3.0
DISTRITO FEDERAL,BRASILIA,I/AUDI Q5 2.0 TFSI Q,2024,1.0
DISTRITO FEDERAL,BRASILIA,I/AUDI Q5 P-HIBRIDO,2024,1.0
DISTRITO FEDERAL,BRASILIA,I/AUDI Q5 S LINE BLACK,2024,1.0
DISTRITO FEDERAL,BRASILIA,I/AUDI Q5 SB P-HIBRIDO,2024,8.0
DISTRITO FEDERAL,BRASILIA,I/AUDI Q7 HIBRIDO,2024,3.0
DISTRITO FEDERAL,BRASILIA,I/AUDI Q8 3.0 TFSI,2024,1.0
DISTRITO FEDERAL,BRASILIA,I/AUDI Q8 E TRON 55,2024,1.0
DISTRITO FEDERAL,BRASILIA,I/AUDI Q8 PERFORMANCE,2024,1.0
ESPIRITO SANTO,BOM JESUS DO NORTE,AUDI/Q3 SPB 2.0 TFSI,2024,1.0
ESPIRITO SANTO,CACHOEIRO DE ITAPEMIRIM,I/AUDI Q3 SPB 2.0 TFSI,2024,1.0
ESPIRITO SANTO,CACHOEIRO DE ITAPEMIRIM,I/AUDI Q5 SB P-HIBRIDO,2024,1.0
ESPIRITO SANTO,CARIACICA,I/AUDI Q8 SB HIBRIDO,2024,1.0
ESPIRITO SANTO,COLATINA,AUDI/Q3 2.0 TFSI,2024,1.0
ESPIRITO SANTO,GUARAPARI,AUDI/Q3 SPB 2.0 TFSI,2024,1.0
ESPIRITO SANTO,JOAO NEIVA,I/AUDI A5 2.0 SB QUATTRO,2024,1.0
ESPIRITO SANTO,LINHARES,AUDI/Q3 2.0 TFSI,2024,1.0
ESPIRITO SANTO,PIUMA,I/AUDI Q3 SPB 2.0 TFSI,2024,1.0
ESPIRITO SANTO,SANTA TERESA,I/AUDI A3 SB HIBRIDO,2024,1.0
ESPIRITO SANTO,SAO GABRIEL DA PALHA,I/AUDI A4 2.0 SE QUATTRO,2024,1.0
ESPIRITO SANTO,SERRA,AUDI/Q3 SPB 2.0 TFSI,2024,1.0
ESPIRITO SANTO,VARGEM ALTA,I/AUDI RS6 AV PERF HIB,2024,1.0
ESPIRITO SANTO,VILA VELHA,AUDI/Q3 2.0 TFSI,2024,2.0
ESPIRITO SANTO,VILA VELHA,I/AUDI A3 SB HIBRIDO,2024,2.0
ESPIRITO SANTO,VILA VELHA,I/AUDI Q3 2.0 TFSI,2024,1.0
ESPIRITO SANTO,VILA VELHA,I/AUDI Q3 SPB 2.0 TFSI,2024,1.0
ESPIRITO SANTO,VILA VELHA,I/AUDI Q5 2.0 TFSI,2024,1.0
ESPIRITO SANTO,VILA VELHA,I/AUDI Q5 P-HIBRIDO,2024,1.0
ESPIRITO SANTO,VILA VELHA,I/AUDI Q5 SB P-HIBRIDO,2024,1.0
ESPIRITO SANTO,VILA VELHA,I/AUDI RS6 AV PERF HIB,2024,1.0
ESPIRITO SANTO,VITORIA,AUDI/Q3 2.0 TFSI,2024,2.0
ESPIRITO SANTO,VITORIA,AUDI/Q3 SPB 2.0 TFSI,2024,3.0
ESPIRITO SANTO,VITORIA,I/AUDI A3 SB HIBRIDO,2024,1.0
ESPIRITO SANTO,VITORIA,I/AUDI A3 SEDAN 2.0,2024,1.0
ESPIRITO SANTO,VITORIA,I/AUDI A5 2.0 SB QUATTRO,2024,3.0
ESPIRITO SANTO,VITORIA,I/AUDI Q3 2.0 TFSI,2024,1.0
ESPIRITO SANTO,VITORIA,I/AUDI Q3 SPB 2.0 TFSI,2024,2.0
ESPIRITO SANTO,VITORIA,I/AUDI Q5 2.0 TFSI,2024,2.0
ESPIRITO SANTO,VITORIA,I/AUDI Q5 SB P-HIBRIDO,2024,2.0
ESPIRITO SANTO,VITORIA,I/AUDI RS6 AV PERF HIB,2024,1.0
GOIAS,ALTO HORIZONTE,I/AUDI A4 2.0 SE QUATTRO,2024,1.0
GOIAS,ANAPOLIS,AUDI/Q3 SPB 2.0 TFSI,2024,1.0
GOIAS,ANAPOLIS,I/AUDI Q3 2.0 TFSI,2024,3.0
GOIAS,ANAPOLIS,I/AUDI Q5 2.0 TFSI,2024,1.0
GOIAS,ANAPOLIS,I/AUDI Q7 HIBRIDO,2024,1.0
GOIAS,ANAPOLIS,I/AUDI RS5 SB COMP PLUS,2024,1.0
GOIAS,APARECIDA DE GOIANIA,AUDI/Q3 2.0 TFSI,2024,1.0
GOIAS,APARECIDA DE GOIANIA,I/AUDI A5 2.0 SB QUATTRO,2024,1.0
GOIAS,APARECIDA DE GOIANIA,I/AUDI Q3 2.0 TFSI,2024,1.0
GOIAS,APARECIDA DE GOIANIA,I/AUDI Q8 SB HIBRIDO,2024,1.0
GOIAS,CACU,I/AUDI Q3 2.0 TFSI,2024,1.0
GOIAS,GOIANIA,AUDI/Q3 2.0 TFSI,2024,5.0
GOIAS,GOIANIA,AUDI/Q3 SPB 2.0 TFSI,2024,6.0
GOIAS,GOIANIA,I/AUDI A3 SB HIBRIDO,2024,4.0
GOIAS,GOIANIA,I/AUDI A3 SD HIBRIDO,2024,5.0
GOIAS,GOIANIA,I/AUDI A3 SEDAN 2.0,2024,2.0
GOIAS,GOIANIA,I/AUDI A4 2.0 SE QUATTRO,2024,3.0
GOIAS,GOIANIA,I/AUDI A5 2.0 SB QUATTRO,2024,8.0
GOIAS,GOIANIA,I/AUDI Q3 2.0 TFSI,2024,9.0
GOIAS,GOIANIA,I/AUDI Q3 SPB 2.0 TFSI,2024,6.0
GOIAS,GOIANIA,I/AUDI Q5 2.0 TFSI,2024,5.0
GOIAS,GOIANIA,I/AUDI Q5 P-HIBRIDO,2024,3.0
GOIAS,GOIANIA,I/AUDI Q5 SB P-HIBRIDO,2024,3.0
GOIAS,GOIANIA,I/AUDI Q7 HIBRIDO,2024,3.0
GOIAS,GOIANIA,I/AUDI Q8 SB HIBRIDO,2024,4.0
GOIAS,GOIANIA,I/AUDI RS 5 SB COMP PLUS,2024,2.0
GOIAS,GOIANIA,I/AUDI RS6 AV PERF HIB,2024,3.0
GOIAS,INHUMAS,AUDI/Q3 2.0 TFSI,2024,1.0
GOIAS,JATAI,AUDI/Q3 SPB 2.0 TFSI,2024,1.0
GOIAS,MONTE ALEGRE DE GOIAS,I/AUDI Q3 2.0 TFSI,2024,1.0
GOIAS,MONTIVIDIU,AUDI/Q3 2.0 TFSI,2024,1.0
GOIAS,NOVO BRASIL,I/AUDI Q5 2.0 TFSI,2024,1.0
GOIAS,TRINDADE,I/AUDI Q3 SPB 2.0 TFSI,2024,1.0
MARANHAO,SANTO AMARO DO MARANHAO,I/AUDI A5 2.0 SB QUATTRO,2024,1.0
MARANHAO,SAO LUIS,AUDI/Q3 2.0 TFSI,2024,1.0
MARANHAO,SAO LUIS,AUDI/Q3 SPB 2.0 TFSI,2024,1.0
MARANHAO,SAO LUIS,I/AUDI A3 SB HIBRIDO,2024,1.0
MARANHAO,SAO LUIS,I/AUDI A4 2.0 SE QUATTRO,2024,1.0
MARANHAO,SAO LUIS,I/AUDI A5 2.0 SB QUATTRO,2024,2.0
MARANHAO,SAO LUIS,I/AUDI Q5 2.0 TFSI,2024,1.0
MARANHAO,SAO LUIS,I/AUDI Q5 P-HIBRIDO,2024,1.0
MARANHAO,SAO LUIS,I/AUDI Q6 ETRON QUATTRO,2024,1.0
MARANHAO,SAO LUIS,I/AUDI Q8 SB HIBRIDO,2024,1.0
MATO GROSSO,BARRA DO BUGRES,I/AUDI Q8 SB HIBRIDO,2024,1.0
MATO GROSSO,CAMPO VERDE,I/AUDI A3 SD HIBRIDO,2024,1.0
MATO GROSSO,CAMPO VERDE,I/AUDI Q3 SPB 2.0 TFSI,2024,1.0
MATO GROSSO,CAMPO VERDE,I/AUDI Q5 P-HIBRIDO,2024,1.0
MATO GROSSO,CAMPO VERDE,I/AUDI Q5 SB P-HIBRIDO,2024,1.0
MATO GROSSO,CAMPO VERDE,I/AUDI Q8 SB HIBRIDO,2024,1.0
MATO GROSSO,CUIABA,AUDI/Q3 2.0 TFSI,2024,5.0
MATO GROSSO,CUIABA,AUDI/Q3 SPB 2.0 TFSI,2024,4.0
MATO GROSSO,CUIABA,I/AUDI A3 SB HIBRIDO,2024,3.0
MATO GROSSO,CUIABA,I/AUDI A3 SD HIBRIDO,2024,4.0
MATO GROSSO,CUIABA,I/AUDI A3 SEDAN 2.0,2024,1.0
MATO GROSSO,CUIABA,I/AUDI A4 2.0 SE QUATTRO,2024,2.0
MATO GROSSO,CUIABA,I/AUDI A5 2.0 SB QUATTRO,2024,3.0
MATO GROSSO,CUIABA,I/AUDI Q3 2.0 TFSI,2024,5.0
MATO GROSSO,CUIABA,I/AUDI Q3 SPB 2.0 TFSI,2024,3.0
MATO GROSSO,CUIABA,I/AUDI Q5 2.0 TFSI,2024,4.0
MATO GROSSO,CUIABA,I/AUDI Q5 P-HIBRIDO,2024,1.0
MATO GROSSO,CUIABA,I/AUDI Q5 SB P-HIBRIDO,2024,6.0
MATO GROSSO,CUIABA,I/AUDI Q6 ETRON QUATTRO,2024,1.0
MATO GROSSO,CUIABA,I/AUDI Q8 SB HIBRIDO,2024,1.0
MATO GROSSO,CUIABA,I/AUDI RS 5 SB COMP PLUS,2024,1.0
MATO GROSSO,LAMBARI D'OESTE,I/AUDI A3 SEDAN 2.0,2024,1.0
MATO GROSSO,LUCAS DO RIO VERDE,I/AUDI Q3 2.0 TFSI,2024,2.0
MATO GROSSO,NOVA MUTUM,I/AUDI Q5 2.0 TFSI,2024,1.0
MATO GROSSO,NOVA MUTUM,I/AUDI Q5 SB P-HIBRIDO,2024,1.0
MATO GROSSO,NOVA UBIRATA,I/AUDI Q5 SB P-HIBRIDO,2024,1.0
MATO GROSSO,POCONE,AUDI/Q3 SPB 2.0 TFSI,2024,1.0
MATO GROSSO,PRIMAVERA DO LESTE,I/AUDI A5 2.0 SB QUATTRO,2024,1.0
MATO GROSSO,PRIMAVERA DO LESTE,I/AUDI Q3 SPB 2.0 TFSI,2024,1.0
MATO GROSSO,PRIMAVERA DO LESTE,I/AUDI Q5 2.0 TFSI,2024,1.0
MATO GROSSO,PRIMAVERA DO LESTE,I/AUDI Q5 SB P-HIBRIDO,2024,1.0
MATO GROSSO,RONDONOPOLIS,I/AUDI Q5 2.0 TFSI,2024,1.0
MATO GROSSO,SAO JOSE DO RIO CLARO,I/AUDI Q5 SB P-HIBRIDO,2024,1.0
MATO GROSSO,SAO JOSE DOS QUATRO MARCOS,AUDI/Q3 SPB 2.0 TFSI,2024,1.0
MATO GROSSO,SINOP,AUDI/Q3 2.0 TFSI,2024,1.0
MATO GROSSO,SINOP,I/AUDI A5 2.0 SB QUATTRO,2024,1.0
MATO GROSSO,SINOP,I/AUDI Q5 2.0 TFSI,2024,2.0
MATO GROSSO,SINOP,I/AUDI Q8 SB HIBRIDO,2024,1.0
MATO GROSSO,SORRISO,AUDI/Q3 SPB 2.0 TFSI,2024,1.0
MATO GROSSO,SORRISO,I/AUDI A3 SD HIBRIDO,2024,1.0
MATO GROSSO,SORRISO,I/AUDI Q3 2.0 TFSI,2024,1.0
MATO GROSSO,SORRISO,I/AUDI Q3 SPB 2.0 TFSI,2024,1.0
MATO GROSSO,SORRISO,I/AUDI Q5 SB P-HIBRIDO,2024,1.0
MATO GROSSO,TANGARA DA SERRA,I/AUDI Q5 P-HIBRIDO,2024,1.0
MATO GROSSO,VARZEA GRANDE,I/AUDI A4 2.0 SE QUATTRO,2024,1.0
MATO GROSSO DO SUL,BODOQUENA,I/AUDI A3 SD HIBRIDO,2024,1.0
MATO GROSSO DO SUL,CAMPO GRANDE,AUDI/Q3 2.0 TFSI,2024,6.0
MATO GROSSO DO SUL,CAMPO GRANDE,AUDI/Q3 SPB 2.0 TFSI,2024,5.0
MATO GROSSO DO SUL,CAMPO GRANDE,I/AUDI A3 SB HIBRIDO,2024,1.0
MATO GROSSO DO SUL,CAMPO GRANDE,I/AUDI A3 SD HIBRIDO,2024,5.0
MATO GROSSO DO SUL,CAMPO GRANDE,I/AUDI A3 SEDAN 2.0,2024,3.0
MATO GROSSO DO SUL,CAMPO GRANDE,I/AUDI A4 2.0 SE QUATTRO,2024,2.0
MATO GROSSO DO SUL,CAMPO GRANDE,I/AUDI A5 2.0 SB QUATTRO,2024,2.0
MATO GROSSO DO SUL,CAMPO GRANDE,I/AUDI Q3 2.0 TFSI,2024,12.0
MATO GROSSO DO SUL,CAMPO GRANDE,I/AUDI Q3 SPB 2.0 TFSI,2024,4.0
MATO GROSSO DO SUL,CAMPO GRANDE,I/AUDI Q5 2.0 TFSI,2024,6.0
MATO GROSSO DO SUL,CAMPO GRANDE,I/AUDI Q5 P-HIBRIDO,2024,7.0
MATO GROSSO DO SUL,CAMPO GRANDE,I/AUDI Q5 SB P-HIBRIDO,2024,6.0
MATO GROSSO DO SUL,CAMPO GRANDE,I/AUDI Q8 SB HIBRIDO,2024,5.0
MATO GROSSO DO SUL,CAMPO GRANDE,I/AUDI RS 5 SB COMP PLUS,2024,2.0
MATO GROSSO DO SUL,CASSILANDIA,I/AUDI A4 2.0 SE QUATTRO,2024,1.0
MATO GROSSO DO SUL,CHAPADAO DO SUL,AUDI/Q3 2.0 TFSI,2024,1.0
MATO GROSSO DO SUL,CHAPADAO DO SUL,I/AUDI Q3 2.0 TFSI,2024,1.0
MATO GROSSO DO SUL,CHAPADAO DO SUL,I/AUDI RS 5 SB COMP PLUS,2024,1.0
MATO GROSSO DO SUL,DOURADOS,I/AUDI A5 2.0 SB QUATTRO,2024,1.0
MATO GROSSO DO SUL,DOURADOS,I/AUDI Q5 2.0 TFSI,2024,1.0
MATO GROSSO DO SUL,DOURADOS,I/AUDI Q5 SB P-HIBRIDO,2024,1.0
MATO GROSSO DO SUL,JARDIM,AUDI/Q3 2.0 TFSI,2024,1.0
MATO GROSSO DO SUL,JARDIM,I/AUDI Q5 2.0 TFSI,2024,1.0
MATO GROSSO DO SUL,MARACAJU,I/AUDI A5 2.0 SB QUATTRO,2024,1.0
MATO GROSSO DO SUL,PONTA PORA,AUDI/Q3 SPB 2.0 TFSI,2024,1.0
MATO GROSSO DO SUL,TAQUARUSSU,I/AUDI Q3 SPB 2.0 TFSI,2024,1.0
MATO GROSSO DO SUL,TRES LAGOAS,I/AUDI Q3 SPB 2.0 TFSI,2024,1.0
MATO GROSSO DO SUL,TRES LAGOAS,I/AUDI Q5 2.0 TFSI,2024,1.0
MINAS GERAIS,ARAGUARI,I/AUDI Q3 2.0 TFSI,2024,1.0
MINAS GERAIS,ARAGUARI,I/AUDI Q3 SPB 2.0 TFSI,2024,1.0
MINAS GERAIS,BARBACENA,I/AUDI A3 SD HIBRIDO,2024,1.0
MINAS GERAIS,BELO HORIZONTE,AUDI/Q3 2.0 TFSI,2024,29.0
MINAS GERAIS,BELO HORIZONTE,AUDI/Q3 SPB 2.0 TFSI,2024,18.0
MINAS GERAIS,BELO HORIZONTE,I/AUDI A3 SB HIBRIDO,2024,12.0
MINAS GERAIS,BELO HORIZONTE,I/AUDI A3 SD HIBRIDO,2024,71.0
MINAS GERAIS,BELO HORIZONTE,I/AUDI A3 SEDAN 2.0,2024,11.0
MINAS GERAIS,BELO HORIZONTE,I/AUDI A4 2.0 SE QUATTRO,2024,7.0
MINAS GERAIS,BELO HORIZONTE,I/AUDI A5 2.0 SB QUATTRO,2024,9.0
MINAS GERAIS,BELO HORIZONTE,I/AUDI Q3 2.0 TFSI,2024,147.0
MINAS GERAIS,BELO HORIZONTE,I/AUDI Q3 SPB 2.0 TFSI,2024,19.0
MINAS GERAIS,BELO HORIZONTE,I/AUDI Q5 2.0 TFSI,2024,46.0
MINAS GERAIS,BELO HORIZONTE,I/AUDI Q5 P-HIBRIDO,2024,13.0
MINAS GERAIS,BELO HORIZONTE,I/AUDI Q5 SB P-HIBRIDO,2024,18.0
MINAS GERAIS,BELO HORIZONTE,I/AUDI Q6 ETRON QUATTRO,2024,1.0
MINAS GERAIS,BELO HORIZONTE,I/AUDI Q7 HIBRIDO,2024,1.0
MINAS GERAIS,BELO HORIZONTE,I/AUDI Q8 SB HIBRIDO,2024,2.0
MINAS GERAIS,BELO HORIZONTE,I/AUDI RS6 AV PERF HIB,2024,6.0
MINAS GERAIS,BETIM,AUDI/Q3 2.0 TFSI,2024,2.0
MINAS GERAIS,BETIM,I/AUDI A4 2.0 SE QUATTRO,2024,1.0
MINAS GERAIS,BETIM,I/AUDI Q5 2.0 TFSI,2024,1.0
MINAS GERAIS,BRUMADINHO,I/AUDI Q3 2.0 TFSI,2024,2.0
MINAS GERAIS,CARANGOLA,I/AUDI Q3 2.0 TFSI,2024,1.0
MINAS GERAIS,CARATINGA,AUDI/Q3 SPB 2.0 TFSI,2024,1.0
MINAS GERAIS,COLUNA,I/AUDI A3 SD HIBRIDO,2024,1.0
MINAS GERAIS,CONSELHEIRO LAFAIETE,I/AUDI Q3 SPB 2.0 TFSI,2024,1.0
MINAS GERAIS,CONTAGEM,AUDI/Q3 2.0 TFSI,2024,1.0
MINAS GERAIS,CONTAGEM,AUDI/Q3 SPB 2.0 TFSI,2024,1.0
MINAS GERAIS,CONTAGEM,I/AUDI Q3 2.0 TFSI,2024,1.0
MINAS GERAIS,CONTAGEM,I/AUDI Q5 SB P-HIBRIDO,2024,1.0
MINAS GERAIS,DIVINOPOLIS,I/AUDI A3 SB HIBRIDO,2024,1.0
MINAS GERAIS,GUANHAES,I/AUDI A5 2.0 SB QUATTRO,2024,1.0
MINAS GERAIS,GUAXUPE,I/AUDI A5 2.0 SB QUATTRO,2024,1.0
MINAS GERAIS,IPATINGA,I/AUDI Q5 2.0 TFSI,2024,1.0
MINAS GERAIS,ITABIRA,I/AUDI Q3 2.0 TFSI,2024,1.0
MINAS GERAIS,ITAUNA,AUDI/Q3 2.0 TFSI,2024,1.0
MINAS GERAIS,ITURAMA,I/AUDI A5 2.0 SB QUATTRO,2024,1.0
MINAS GERAIS,JUIZ DE FORA,AUDI/Q3 2.0 TFSI,2024,6.0
MINAS GERAIS,JUIZ DE FORA,AUDI/Q3 SPB 2.0 TFSI,2024,2.0
MINAS GERAIS,JUIZ DE FORA,I/AUDI A3 SB HIBRIDO,2024,2.0
MINAS GERAIS,JUIZ DE FORA,I/AUDI A3 SD HIBRIDO,2024,3.0
MINAS GERAIS,JUIZ DE FORA,I/AUDI A3 SEDAN 2.0,2024,2.0
MINAS GERAIS,JUIZ DE FORA,I/AUDI A4 2.0 SE QUATTRO,2024,1.0
MINAS GERAIS,JUIZ DE FORA,I/AUDI Q3 2.0 TFSI,2024,6.0
MINAS GERAIS,JUIZ DE FORA,I/AUDI Q3 SPB 2.0 TFSI,2024,7.0
MINAS GERAIS,JUIZ DE FORA,I/AUDI Q5 2.0 TFSI,2024,4.0
MINAS GERAIS,JUIZ DE FORA,I/AUDI Q5 P-HIBRIDO,2024,2.0
MINAS GERAIS,JUIZ DE FORA,I/AUDI Q5 SB P-HIBRIDO,2024,1.0
MINAS GERAIS,LAGOA SANTA,I/AUDI Q8 SB HIBRIDO,2024,1.0
MINAS GERAIS,MATIAS BARBOSA,I/AUDI A5 2.0 SB QUATTRO,2024,1.0
MINAS GERAIS,MONTE CARMELO,I/AUDI Q5 2.0 TFSI,2024,2.0
MINAS GERAIS,MONTE CARMELO,I/AUDI Q8 SB HIBRIDO,2024,1.0
MINAS GERAIS,MONTES CLAROS,I/AUDI Q5 2.0 TFSI,2024,1.0
MINAS GERAIS,NOVA LIMA,AUDI/Q3 2.0 TFSI,2024,4.0
MINAS GERAIS,NOVA LIMA,I/AUDI A5 2.0 SB QUATTRO,2024,1.0
